community_id,size,top_entities,summary_stub
0,31,"['троицкая', 'троицкого', 'жк', 'городской улице', 'троицкая ривьера', 'троицк е-39 (фаворит)', 'тинао', 'легенда']","Ключевые сущности: троицкая, троицкого, жк, городской улице, троицкая ривьера, троицк е-39 (фаворит), тинао, легенда"
1,16,"['фонда', 'сбербанк', 'сколтех', 'татнефть', 'мгу', 'технопарка', 'ск', 'ниу вшэ']","Ключевые сущности: фонда, сбербанк, сколтех, татнефть, мгу, технопарка, ск, ниу вшэ"
2,16,"['татарстан', 'но', 'волги', 'академгородка', 'сша', 'татарстане', 'октябрьским проспектом', 'калужским шоссе']","Ключевые сущности: татарстан, но, волги, академгородка, сша, татарстане, октябрьским проспектом, калужским шоссе"
3,12,"['десны', 'троицкое', 'ресторан', 'правый берег десны', 'черенкова', 'калужского шоссе', 'заречье', 'зарядье']","Ключевые сущности: десны, троицкое, ресторан, правый берег десны, черенкова, калужского шоссе, заречье, зарядье"
4,11,"['троицке', 'москве', 'свао', 'высшей школы экономики', 'варилрикса', 'гипер-ленте', 'кфс', 'новой москве']","Ключевые сущности: троицке, москве, свао, высшей школы экономики, варилрикса, гипер-ленте, кфс, новой москве"
5,11,"['жуковского', 'жуковском', 'госдумы', 'алексея стаханова', 'николая егоровича жуковского', 'мособлдумы', 'мкад', 'совета депутатов']","Ключевые сущности: жуковского, жуковском, госдумы, алексея стаханова, николая егоровича жуковского, мособлдумы, мкад, совета депутатов"
6,10,"['королёва', 'королёв', 'кёнигсберга', 'земли', 'сергея королёва', 'солнца', 'техноспарк', 'королёве']","Ключевые сущности: королёва, королёв, кёнигсберга, земли, сергея королёва, солнца, техноспарк, королёве"
7,9,"['на', 'оэз', 'ренат халимов', 'рт', 'оэз «иннополис»', 'саров', 'снежинск', 'нижегородской области']","Ключевые сущности: на, оэз, ренат халимов, рт, оэз «иннополис», саров, снежинск, нижегородской области"
8,8,"['японии', 'обнинске', 'обнинска', 'нии', 'аэс', 'европе', 'китае', 'сергея павловича королёва']","Ключевые сущности: японии, обнинске, обнинска, нии, аэс, европе, китае, сергея павловича королёва"
9,8,"['центральную улицу', 'октябрьского проспекта', 'садовой улицы', 'октябрьский проспект', 'академика харитона', 'сиреневый бульвар', 'сиреневого бульвара', 'северную']","Ключевые сущности: центральную улицу, октябрьского проспекта, садовой улицы, октябрьский проспект, академика харитона, сиреневый бульвар, сиреневого бульвара, северную"
10,7,"['ао «государственный научный центр', 'научный центр', 'государственной корпорации по атомной энергии «росатом', 'федеральное государственное бюджетное учреждение науки', 'институт спектроскопии ран (исан)', 'троицкий институт инновационных и термоядерных исследований» (ао «гнц рф тринити»', 'институт ядерных исследований ран (ияи ран)']","Ключевые сущности: ао «государственный научный центр, научный центр, государственной корпорации по атомной энергии «росатом, федеральное государственное бюджетное учреждение науки, институт спектроскопии ран (исан), троицкий институт инновационных и термоядерных исследований» (ао «гнц рф тринити», институт ядерных исследований ран (ияи ран)"
11,5,"['вкусвилла', 'перекрестка', 'пятерочки', 'магнита', 'дикси']","Ключевые сущности: вкусвилла, перекрестка, пятерочки, магнита, дикси"
12,5,"['цкп', 'скиф', 'цкп «скиф»', 'центра коллективного пользования «сибирский кольцевой источник фотонов» (цкп «скиф»', 'валерий фальков']","Ключевые сущности: цкп, скиф, цкп «скиф», центра коллективного пользования «сибирский кольцевой источник фотонов» (цкп «скиф», валерий фальков"
13,5,"['владимира войновича', 'юрия бондарева', 'александра твардовского', 'константина симонова', 'юрия трифонова']","Ключевые сущности: владимира войновича, юрия бондарева, александра твардовского, константина симонова, юрия трифонова"
14,4,"['калужско-рижской', 'сокольнической', 'теплый стан', 'троицку']","Ключевые сущности: калужско-рижской, сокольнической, теплый стан, троицку"
15,4,"['реутова', 'regions', 'владимир острогожский', 'боевой славы']","Ключевые сущности: реутова, regions, владимир острогожский, боевой славы"
16,4,"['никифоров', 'николай никифоров', 'иннополису', 'спарк-интерфакс']","Ключевые сущности: никифоров, николай никифоров, иннополису, спарк-интерфакс"
17,4,"['наталья селезнева', 'генрих боровик', 'виктория токарева', 'денис драгунский']","Ключевые сущности: наталья селезнева, генрих боровик, виктория токарева, денис драгунский"
18,3,"['дома ученых', 'подмосковья', 'черноголовке']","Ключевые сущности: дома ученых, подмосковья, черноголовке"
19,3,"['троицка', 'радужной улице', 'т-клуб']","Ключевые сущности: троицка, радужной улице, т-клуб"
20,3,"['гемотеста', 'инвитро', 'лабквеста']","Ключевые сущности: гемотеста, инвитро, лабквеста"
21,3,"['агентство «москва»', 'новосибирская область', 'nica']","Ключевые сущности: агентство «москва», новосибирская область, nica"
22,3,"['мкада', 'калужскому шоссе', 'калужское шоссе']","Ключевые сущности: мкада, калужскому шоссе, калужское шоссе"
23,3,"['тц «мега', 'теплом стане', 'трц «саларис']","Ключевые сущности: тц «мега, теплом стане, трц «саларис"
24,2,"['байтик', 'ран']","Ключевые сущности: байтик, ран"
25,2,"['петра i', 'института химической физики']","Ключевые сущности: петра i, института химической физики"
26,2,"['цниимаш', 'ркк «энергия»']","Ключевые сущности: цниимаш, ркк «энергия»"
27,2,"['алтайский край', 'тамбовская область']","Ключевые сущности: алтайский край, тамбовская область"
28,2,"['ленинграда', 'научно-исследовательский институт земного магнетизма — измиран']","Ключевые сущности: ленинграда, научно-исследовательский институт земного магнетизма — измиран"
29,2,"['серпухов', 'серпухову']","Ключевые сущности: серпухов, серпухову"
30,2,"['красной пахре', 'моремания']","Ключевые сущности: красной пахре, моремания"
31,2,"['академгородок', 'наукоград']","Ключевые сущности: академгородок, наукоград"
